BLOQUE;Semanas;Tratamiento;Repetición;Peso (gs);Consumo Sem (gs);Consumo Acum. (gs);FCR   Semanal;FCR Acum.;GDP Semanal;GDP Lineal;% Mortalidad ;% Mortalidad  Acum;FCR AJ 2,5 KG;Ratio;FCR AJ 2 KG;FCR AJ 2,7 KG
D2;2,00;11,00;5,00;565,10;417,25;570,98;1,17;1,01;50,98;40,36;0,00;0,00;;;;
D20;2,00;11,00;6,00;575,20;410,00;566,40;1,15;0,98;51,09;41,09;0,00;0,00;;;;
A3;3,00;1,00;1,00;1114,25;763,75;1353,90;1,38;1,22;79,27;53,06;0,02;0,04;;;;
A10;3,00;1,00;2,00;1104,08;750,20;1344,08;1,36;1,22;79,01;52,58;0,00;0,00;;;;
A13;3,00;1,00;3,00;1236,68;827,23;1443,97;1,28;1,17;92,65;58,89;0,04;0,04;;;;
A16;3,00;1,00;4,00;1178,08;793,06;1402,66;1,31;1,19;86,18;56,10;0,02;0,02;;;;
B7;3,00;1,00;5,00;1104,08;757,55;1318,40;1,35;1,19;80,00;52,58;0,00;0,02;;;;
B11;3,00;1,00;6,00;1131,84;768,16;1340,56;1,30;1,18;84,38;53,90;0,02;0,02;;;;
B17;3,00;1,00;7,00;1136,00;759,60;1342,40;1,33;1,18;81,77;54,10;0,00;0,00;;;;
A1;3,00;2,00;1,00;1077,55;733,47;1269,80;1,30;1,18;80,76;51,31;0,00;0,02;;;;
A9;3,00;2,00;2,00;1070,00;720,40;1261,60;1,30;1,18;79,03;50,95;0,00;0,00;;;;
A14;3,00;2,00;3,00;1087,04;740,00;1277,20;1,28;1,17;82,61;51,76;0,04;0,04;;;;
A19;3,00;2,00;4,00;1089,80;744,49;1294,69;1,32;1,19;80,52;51,90;0,00;0,02;;;;
B5;3,00;2,00;5,00;1106,00;736,80;1310,80;1,30;1,19;80,86;52,67;0,00;0,00;;;;
B8;3,00;2,00;6,00;1100,00;742,40;1293,60;1,31;1,18;80,80;52,38;0,00;0,00;;;;
B13;3,00;2,00;7,00;1036,08;696,25;1216,25;1,28;1,17;77,98;49,34;0,02;0,04;;;;
B19;3,00;2,00;8,00;1120,83;761,67;1306,67;1,29;1,17;84,29;53,37;0,00;0,02;;;;
A2;3,00;3,00;1,00;1076,00;734,80;1293,60;1,36;1,20;77,31;51,24;0,00;0,00;;;;
A6;3,00;3,00;2,00;1078,00;736,40;1290,00;1,36;1,20;77,49;51,33;0,00;0,00;;;;
A11;3,00;3,00;3,00;1100,00;747,76;1308,98;1,33;1,19;80,17;52,38;0,00;0,02;;;;
A17;3,00;3,00;4,00;1116,67;760,83;1334,62;1,35;1,20;80,53;53,17;0,00;0,04;;;;
B9;3,00;3,00;5,00;1080,00;731,60;1269,20;1,32;1,18;79,26;51,43;0,00;0,00;;;;
B14;3,00;3,00;6,00;1118,75;750,83;1322,50;1,31;1,18;81,96;53,27;0,00;0,04;;;;
B20;3,00;3,00;7,00;1128,00;757,20;1341,60;1,33;1,19;81,37;53,71;0,00;0,00;;;;
A5;3,00;4,00;1,00;1042,00;711,20;1232,00;1,32;1,18;77,03;49,62;0,00;0,00;;;;
A8;3,00;4,00;2,00;1076,00;728,00;1248,00;1,29;1,16;80,51;51,24;0,00;0,00;;;;
A15;3,00;4,00;3,00;1097,22;739,18;1277,98;1,28;1,16;82,35;52,25;0,02;0,02;;;;
A20;3,00;4,00;4,00;1092,00;747,60;1280,00;1,31;1,17;81,77;52,00;0,00;0,00;;;;
B4;3,00;4,00;5,00;1058,33;712,92;1241,28;1,33;1,17;76,42;50,40;0,00;0,04;;;;
B10;3,00;4,00;6,00;1084,00;735,60;1255,20;1,28;1,16;81,83;51,62;0,00;0,00;;;;
B12;3,00;4,00;7,00;1085,71;728,57;1261,53;1,31;1,16;79,70;51,70;0,00;0,02;;;;
B18;3,00;4,00;8,00;1111,28;733,62;1297,22;1,26;1,17;82,86;52,92;0,02;0,06;;;;
A4;3,00;5,00;1,00;1126,53;744,49;1315,92;1,30;1,17;81,57;53,64;0,00;0,02;;;;
A7;3,00;5,00;2,00;1133,92;745,00;1294,98;1,26;1,14;84,26;54,00;0,02;0,04;;;;
A12;3,00;5,00;3,00;1140,00;761,60;1326,00;1,30;1,16;83,77;54,29;0,00;0,00;;;;
A18;3,00;5,00;4,00;1102,00;731,60;1288,65;1,34;1,17;77,97;52,48;0,00;0,02;;;;
B1;3,00;5,00;5,00;1143,13;756,67;1309,73;1,27;1,15;85,23;54,43;0,02;0,04;;;;
B6;3,00;5,00;6,00;1144,68;771,49;1318,95;1,31;1,15;84,31;54,51;0,00;0,06;;;;
B15;3,00;5,00;7,00;1134,00;755,60;1316,40;1,30;1,16;83,20;54,00;0,00;0,00;;;;
B16;3,00;5,00;8,00;1130,39;757,14;1301,14;1,26;1,15;85,83;53,83;0,02;0,02;;;;
C1;3,00;7,00;1,00;1089,80;734,29;1318,78;1,33;1,21;78,72;51,90;0,00;0,02;;;;
C9;3,00;7,00;2,00;1085,71;741,63;1318,82;1,38;1,21;76,74;51,70;0,00;0,02;;;;
C13;3,00;7,00;3,00;1104,00;752,40;1333,65;1,36;1,21;78,90;52,57;0,00;0,02;;;;
C16;3,00;7,00;4,00;1136,00;772,40;1372,00;1,35;1,21;81,49;54,10;0,00;0,00;;;;
D3;3,00;7,00;5,00;1097,96;742,45;1323,27;1,35;1,21;78,83;52,28;0,00;0,00;;;;
D7;3,00;7,00;6,00;1110,20;780,82;1359,18;1,38;1,22;80,93;52,87;0,00;0,00;;;;
D12;3,00;7,00;7,00;1142,00;777,60;1374,40;1,34;1,20;82,86;54,38;0,00;0,00;;;;
C2;3,00;8,00;1,00;1110,42;742,92;1309,58;1,32;1,18;80,24;52,88;0,00;0,02;;;;
C8;3,00;8,00;2,00;1087,29;739,17;1205,70;1,30;1,11;81,45;51,78;0,02;0,04;;;;
C15;3,00;8,00;3,00;1083,33;741,25;1288,33;1,32;1,19;80,12;51,59;0,00;0,04;;;;
C17;3,00;8,00;4,00;1097,96;736,73;1292,65;1,30;1,18;81,22;52,28;0,00;0,02;;;;
D1;3,00;8,00;5,00;1108,00;749,20;1316,00;1,33;1,19;80,63;52,76;0,00;0,00;;;;
D8;3,00;8,00;6,00;1078,00;738,80;1267,12;1,32;1,18;79,87;51,33;0,00;0,02;;;;
D13;3,00;8,00;7,00;1073,47;745,71;1272,24;1,34;1,19;79,77;51,12;0,00;0,00;;;;
D18;3,00;8,00;8,00;1036,73;708,98;1231,23;1,33;1,19;76,39;49,37;0,00;0,02;;;;
C4;3,00;9,00;1,00;1101,27;732,24;1285,44;1,29;1,17;81,04;52,44;0,02;0,02;;;;
C6;3,00;9,00;2,00;1088,00;736,00;1296,40;1,33;1,19;78,86;51,81;0,00;0,00;;;;
C14;3,00;9,00;3,00;1100,00;743,20;1319,60;1,34;1,20;79,09;52,38;0,00;0,00;;;;
C18;3,00;9,00;4,00;1091,84;740,82;1307,69;1,38;1,20;76,79;51,99;0,00;0,02;;;;
D5;3,00;9,00;5,00;1122,45;760,41;1323,67;1,35;1,18;80,23;53,45;0,00;0,02;;;;
D19;3,00;9,00;6,00;1110,00;805,60;1374,80;1,43;1,24;80,46;52,86;0,00;0,00;;;;
C3;3,00;10,00;1,00;1080,00;729,60;1252,61;1,31;1,16;79,49;51,43;0,00;0,02;;;;
C7;3,00;10,00;2,00;1050,00;782,00;1302,80;1,44;1,24;77,43;50,00;0,00;0,00;;;;
C11;3,00;10,00;3,00;1116,00;752,40;1302,40;1,30;1,17;82,74;53,14;0,00;0,00;;;;
C20;3,00;10,00;4,00;1038,00;725,20;1257,20;1,34;1,21;77,20;49,43;0,00;0,00;;;;
D4;3,00;10,00;5,00;1100,00;757,14;1281,96;1,31;1,17;82,30;52,38;0,00;0,02;;;;
D6;3,00;10,00;6,00;1099,75;752,50;1281,48;1,29;1,17;83,11;52,37;0,02;0,04;;;;
D11;3,00;10,00;7,00;1125,49;769,02;1311,37;1,30;1,17;84,54;53,59;0,00;0,00;;;;
D17;3,00;10,00;8,00;1166,43;751,43;1269,03;1,15;1,09;93,09;55,54;0,02;0,02;;;;
C5;3,00;11,00;1,00;1201,50;793,18;1369,86;1,26;1,14;90,06;57,21;0,04;0,12;;;;
C10;3,00;11,00;2,00;1124,00;752,40;1306,80;1,29;1,16;83,09;53,52;0,00;0,00;;;;
C12;3,00;11,00;3,00;1104,00;738,80;1284,40;1,30;1,16;81,31;52,57;0,00;0,00;;;;
C19;3,00;11,00;4,00;1178,49;786,12;1364,52;1,28;1,16;87,44;56,12;0,02;0,02;;;;
D2;3,00;11,00;5,00;1170,59;768,24;1339,22;1,27;1,14;86,50;55,74;0,00;0,00;;;;
D20;3,00;11,00;6,00;1180,00;796,40;1362,80;1,32;1,15;86,40;56,19;0,00;0,00;;;;
